taxonomy,sample38,sample97,sample46,sample211,sample68,sample128,sample6,sample149,sample120,sample173,sample175,sample170,sample61,sample209,sample199,sample50,sample13,sample56,sample70,sample12,sample78,sample119,sample135,sample144,sample145,sample148,sample16,sample180,sample174,sample101,sample210,sample190,sample195,sample139,sample218,sample155,sample102,sample33,sample104,sample77,sample115,sample138,sample163,sample224,sample140,sample40,sample18,sample103,sample184,sample217,sample160,sample3,sample100,sample161,sample28,sample43,sample151,sample168,sample106,sample121,sample194,sample94,sample32,sample23,sample96,sample90,sample146,sample88,sample65,sample189,sample204,sample87,sample176,sample53,sample123,sample20,sample142,sample131,sample159,sample164,sample166,sample202,sample107,sample162,sample82,sample92,sample93,sample185,sample201,sample207,sample59,sample37,sample213,sample152,sample216,sample14,sample110,sample129,sample98,sample203,sample84,sample11,sample108,sample74,sample41,sample91,sample133,sample39,sample86,sample71,sample116,sample48,sample132,sample158,sample212,sample117,sample220,sample179,sample4,sample69,sample125,sample169,sample10,sample214,sample127,sample114,sample172,sample171,sample112,sample35,sample192,sample109,sample165,sample188,sample1,sample49,sample137,sample19,sample22,sample76,sample193,sample30,sample47,sample42,sample25,sample99,sample122,sample223,sample143,sample208,sample44,sample167,sample7,sample34,sample124,sample62,sample27,sample153,sample197,sample177,sample83,sample150,sample80,sample17,sample63,sample73,sample183,sample58,sample79,sample64,sample111,sample89,sample36,sample66,sample206,sample0,sample67,sample75,sample31,sample118,sample147,sample54,sample8,sample221,sample113,sample45,sample15,sample52,sample219,sample60,sample222,sample85,sample51,sample182,sample186,sample187,sample130,sample24,sample105,sample134,sample2,sample57,sample55,sample156,sample198,sample136,sample9,sample81,sample205,sample154,sample21,sample29,sample72,sample178,sample26,sample126,sample157,sample215,sample181,sample95,sample196,sample141,sample191,sample200,sample5
Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Weeksellaceae;Chryseobacterium;NA,104,2,0,0,14,0,0,0,0,2,0,0,17,0,0,0,0,45,6,0,22,19,60,0,0,0,0,0,0,127,0,11,0,50,0,0,106,55,0,11,0,23,0,0,0,42,1,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,85,2,13,0,0,0,9,16,10,1,0,45,0,7,0,27,0,0,0,0,0,0,2,47,5,0,11,0,39,18,0,0,0,0,8,29,1,0,4,0,0,2,90,8,5,44,2,9,0,0,44,0,0,0,0,33,0,50,0,0,0,0,0,38,0,0,0,77,0,83,0,0,0,0,0,0,0,15,0,140,0,15,0,21,0,0,0,0,0,0,1,0,0,14,0,0,0,1,1,0,12,5,171,61,2,7,15,5,0,0,54,18,0,0,128,21,16,29,0,133,0,0,58,0,0,31,0,0,0,8,0,1,0,0,160,0,0,69,0,9,118,0,0,16,0,1,0,0,0,0,31,0,0,0,0,0,0,0,0,0,3,0,0
Bacteria;Actinobacteriota;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;Gardnerella;NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Anoxybacillus;flavithermus,29,0,0,0,9,0,0,0,0,0,0,0,2,0,0,0,0,2,1,0,5,0,19,0,0,0,0,0,0,34,0,0,0,136,0,0,46,26,0,0,0,88,0,0,0,18,11,0,0,0,0,0,0,0,76,0,3,0,11,0,0,0,6,0,7,0,0,0,2,0,0,0,0,5,0,38,0,2,0,0,0,0,0,0,0,152,13,0,0,0,0,76,0,0,0,0,4,1,0,0,0,0,0,10,51,12,0,89,0,0,0,0,12,0,3,0,0,0,0,22,0,0,0,0,0,43,0,0,0,28,0,17,0,0,0,0,0,44,1,2,0,10,0,3,0,3,0,0,0,0,0,0,0,0,0,6,112,0,0,0,0,1,15,16,17,29,0,0,205,10,0,1,87,11,0,0,266,28,1,3,0,81,0,0,3,0,0,9,0,0,0,2,0,0,0,0,3,19,0,4,0,3,96,0,0,4,0,0,0,0,34,67,0,0,122,0,0,0,0,0,0,0,0,0,0
Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Curvibacter;gracilis,0,0,0,0,0,0,1,40,0,34,0,85,1,50,0,287,3,0,1,25,0,0,0,9,167,0,7,0,0,0,0,10,44,0,7,13,0,0,0,0,0,0,31,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,10,0,36,1,0,0,3,0,0,0,11,0,0,0,0,8,0,0,0,2,0,0,1,0,4,6,0,19,0,0,0,1,25,1,0,6,8,0,0,0,10,61,7,3,3,0,3,0,1,0,0,0,73,1,0,2,0,0,0,0,22,5,0,0,39,26,0,0,0,0,0,0,0,0,0,1,0,14,0,4,0,0,44,0,15,0,0,0,24,0,0,0,0,0,1,2,2,0,0,0,28,0,0,0,9,47,0,0,0,0,0,0,38,2,0,1,0,0,7,0,162,0,0,0,2,7,0,0,0,0,0,0,0,7,11,5,70,0,0,0,0,0,0,3,0,0,45,0,0,1,0,0,3,36,18
Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Stenotrophomonas;NA,0,0,0,0,0,4,0,19,0,0,58,4,0,0,11,15,4,0,8,2,0,0,37,0,283,54,16,0,0,0,1,0,0,12,0,0,0,2,4,12,110,0,13,0,0,0,18,1,0,0,0,0,10,28,1,0,0,12,1,68,1,0,1,0,0,27,71,0,0,10,0,0,25,1,3,6,0,0,22,69,13,0,18,0,0,1,0,2,20,0,0,9,0,38,0,0,4,28,0,5,0,1,1,0,0,2,29,5,0,1,73,0,0,5,1,3,0,76,1,4,0,45,0,4,0,23,43,41,11,0,0,10,3,0,0,59,13,0,0,4,0,0,22,0,0,0,2,0,4,0,0,2,0,0,9,0,0,2,0,0,0,5,1,7,0,1,3,0,4,0,0,0,0,0,0,5,2,8,0,1,4,0,5,9,130,0,0,1,0,9,22,0,0,0,0,3,0,3,0,8,0,0,0,7,0,6,0,0,0,0,6,0,3,11,6,0,0,0,21,0,0,9,1,46,0
Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;NA;NA;NA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Bacteria;Firmicutes;Bacilli;Lactobacillales;Listeriaceae;Brochothrix;thermosphacta,0,0,0,1,0,0,0,0,0,19,41,9,0,20,0,0,0,0,0,0,0,4,0,3,0,0,0,1,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,8,0,0,0,0,12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,446,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,5,24,2,0,0,0,0,0,0,0,0,0,0,0,0,103,0,0,0,0,0,0,0,0,7,726,0,51,4,18,0,0
Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;fragi,0,0,0,0,0,0,0,0,0,23,1,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1305,0,0,6,0,0,0,0,0,0,0,2,7,0,1,0,0,0,31,29,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0
Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Psychrobacter;NA,0,0,0,10,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,43,0,0,0,1,1,0,212,1,20,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,14,0,0,0,1049,0,0,0,0,0,0,0,0,7,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,16,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,34,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,6,4,0,0,0,0,0,0,0,0,112,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,306,0,0,0,0
Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Luteimonas;NA,56,0,0,1,2,0,0,0,0,0,0,0,4,0,0,0,0,11,10,1,12,15,31,0,0,0,0,0,0,16,0,2,0,7,0,0,50,36,0,0,0,9,0,0,0,41,0,0,0,0,0,0,6,3,40,1,0,0,0,0,0,0,29,0,3,0,0,0,14,3,0,1,0,24,0,32,0,1,0,0,0,0,0,0,39,119,8,0,0,0,4,36,0,0,0,0,19,5,0,0,38,0,0,0,68,2,0,48,4,2,0,0,18,0,0,0,0,0,0,43,1,20,0,0,0,152,0,0,0,65,0,1,0,0,0,0,0,1,0,12,0,31,0,12,0,13,0,0,0,0,0,0,0,0,0,6,5,0,0,0,32,2,4,0,58,2,0,3,1,3,0,0,41,2,0,0,71,14,16,1,0,25,0,0,53,0,0,12,0,0,0,1,0,0,0,0,11,3,0,14,0,3,100,0,0,6,0,256,0,0,7,26,0,0,0,0,0,0,0,0,0,1,0,0,0
Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Weeksellaceae;Empedobacter;brevis,0,1339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Weeksellaceae;Soonwooa;NA,48,2,0,0,1,0,0,0,0,1,0,0,3,0,0,0,0,9,7,0,11,0,10,0,0,0,0,0,0,87,0,21,0,169,0,0,44,15,0,0,0,19,0,0,0,15,16,0,0,0,0,0,7,0,56,0,5,0,0,0,0,0,45,0,1,0,0,0,2,17,0,6,0,22,0,8,0,0,0,0,0,0,0,0,0,16,1,0,0,0,8,20,0,0,0,0,21,17,0,1,44,0,0,7,41,3,0,42,0,12,0,0,2,0,0,0,0,0,0,49,0,3,0,0,0,12,0,0,0,27,0,77,0,0,0,0,0,35,22,10,0,52,0,1,1,5,0,0,0,0,0,0,0,0,0,4,39,0,0,1,0,1,7,22,42,23,0,1,7,1,0,0,36,2,0,0,50,30,19,17,0,27,0,0,41,0,0,40,0,0,0,11,0,1,0,0,12,5,0,0,0,1,122,0,0,17,0,19,0,0,22,39,11,0,30,0,0,0,0,0,0,0,4,0,0
Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Anaerobacillus;NA,0,0,0,0,0,0,0,0,0,5,105,181,0,0,21,10,0,0,0,20,0,0,0,0,0,0,3,3,0,0,0,0,37,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,1,5,0,18,0,0,0,0,0,8,0,8,9,0,10,0,0,0,17,1,0,0,0,0,0,0,3,0,0,0,23,0,1,0,0,0,0,0,0,0,0,0,47,0,12,0,0,0,24,5,0,0,20,29,0,0,0,11,18,0,0,350,0,19,18,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,27,0,0,0,0,0,355,31,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,18,0,0,0,2,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,32,4,0,50,0,0,12,0,0,0,23,0,0,49,0,25,0,12,0,2,79,5
Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter;albensis,0,0,0,4,0,20,0,0,0,2,0,12,0,86,10,0,0,0,0,0,0,0,0,0,0,1,0,10,1,0,16,22,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,14,0,5,0,0,3,0,27,0,4,0,3,2,0,0,0,0,0,0,0,0,125,6,0,11,0,0,0,0,0,0,3,2,3,0,0,0,0,0,0,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,0,0,0,0,0,0,22,0,0,0,42,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,129,0,0,3,0,0,0,5,0,0,0,0,34,0,0,0,0,0,0,478,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195,74,90,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,17,8,0,3,0,10,0,0
